in_degree,out_degree,total_degree,CredCount
46,0,46,0
801,0,801,0
0,1122,1122,274
80,0,80,0
0,281,281,155
171,0,171,0
0,3,3,4
36,0,36,0
0,251,251,44
162,0,162,0
0,129,129,7
289,0,289,0
0,1186,1186,5
4,0,4,0
0,13,13,5
654,0,654,0
0,50,50,90
37,0,37,0
0,15,15,20
195,0,195,0
0,72,72,9
130,0,130,0
23,0,23,0
0,140,140,3
20,0,20,0
0,326,326,51
167,0,167,0
6,0,6,0
0,508,508,8
506,0,506,0
0,226,226,15
4,0,4,0
0,22,22,4
1104,0,1104,0
133,0,133,0
0,97,97,89
0,928,928,20
892,0,892,0
130,0,130,0
0,67,67,58
4,0,4,0
0,430,430,9
599,0,599,0
0,39,39,15
40,0,40,0
0,121,121,12
15,0,15,0
263,0,263,0
0,273,273,19
0,413,413,36
424,0,424,0
0,215,215,30
148,0,148,0
0,2,2,17
143,0,143,0
200,0,200,0
0,301,301,1
1,0,1,0
0,125,125,22
8618,0,8618,0
0,40,40,12
17,0,17,0
0,455,455,12
527,0,527,0
0,1018,1018,8
238,0,238,0
0,864,864,70
558,0,558,0
0,882,882,313
1,0,1,0
0,32,32,4
64,0,64,0
0,100,100,66
103,0,103,0
0,269,269,16
114,0,114,0
0,142,142,16
219,0,219,0
0,456,456,14
510,0,510,0
0,439,439,23
129,0,129,0
0,1717,1717,8
832,0,832,0
0,1400,1400,9
1227,0,1227,0
0,412,412,86
17,0,17,0
0,29,29,23
9,0,9,0
0,354,354,19
0,199,199,22
349,0,349,0
75,0,75,0
0,327,327,13
100,0,100,0
0,28,28,24
30,0,30,0
0,87,87,6
43,0,43,0
0,145,145,6
173,0,173,0
0,54,54,3
737,0,737,0
0,38,38,40
74,0,74,0
187,0,187,0
0,25,25,27
45,0,45,0
0,108,108,61
270,0,270,0
94,0,94,0
0,421,421,12
389,0,389,0
0,103,103,12
112,0,112,0
0,11,11,8
108,0,108,0
0,1213,1213,93
453,0,453,0
0,63,63,9
86,0,86,0
0,140,140,0
55,0,55,0
268,0,268,0
210,0,210,0
0,88,88,36
17,0,17,0
124,0,124,0
0,100,100,141
0,410,410,55
283,0,283,0
0,234,234,1
44,0,44,0
0,219,219,1
1315,0,1315,0
0,135,135,34
207,0,207,0
0,57,57,5
121,0,121,0
56,0,56,0
0,340,340,9
491,0,491,0
0,375,375,18
217,0,217,0
122,0,122,0
0,50,50,11
48,0,48,0
2,0,2,0
0,82,82,4
0,1405,1405,52
757,0,757,0
0,907,907,30
926,0,926,0
0,54,54,0
132,0,132,0
0,19,19,9
14,0,14,0
0,173,173,28
133,0,133,0
73,0,73,0
0,17,17,11
0,77,77,67
36,0,36,0
0,93,93,65
39,0,39,0
0,57,57,3
14,0,14,0
2,0,2,0
0,104,104,11
2,0,2,0
0,118,118,14
294,0,294,0
0,173,173,17
122,0,122,0
0,624,624,86
338,0,338,0
553,0,553,0
0,53,53,56
2,0,2,0
0,20,20,58
8,0,8,0
0,157,157,0
1369,0,1369,0
0,667,667,27
534,0,534,0
0,19,19,15
4,0,4,0
0,762,762,50
681,0,681,0
0,5907,5907,78
350,0,350,0
0,9,9,2
6,0,6,0
64,0,64,0
0,73,73,8
1,0,1,0
144,0,144,0
0,66,66,6
54,0,54,0
0,204,204,0
235,0,235,0
0,406,406,42
104,0,104,0
0,22,22,3
15,0,15,0
0,64,64,17
198,0,198,0
0,242,242,79
273,0,273,0
0,118,118,17
103,0,103,0
0,44,44,24
478,0,478,0
0,106,106,4
79,0,79,0
12,0,12,0
0,849,849,40
146,0,146,0
0,160,160,27
177,0,177,0
402,0,402,0
0,292,292,33
0,136,136,1
338,0,338,0
223,0,223,0
0,329,329,79
41,0,41,0
0,353,353,68
382,0,382,0
0,1803,1803,48
689,0,689,0
0,17,17,3
267,0,267,0
6,0,6,0
0,152,152,38
141,0,141,0
0,64,64,3
55,0,55,0
0,20,20,2
2,0,2,0
0,41,41,15
1,0,1,0
0,488,488,21
483,0,483,0
0,1400,1400,48
1183,0,1183,0
0,69,69,30
566,0,566,0
0,28,28,11
16,0,16,0
0,197,197,16
220,0,220,0
0,1606,1606,15
2095,0,2095,0
0,73,73,219
107,0,107,0
0,270,270,123
223,0,223,0
0,335,335,31
0,91,91,34
32,0,32,0
172,0,172,0
0,65,65,21
448,0,448,0
0,100,100,76
483,0,483,0
0,326,326,17
264,0,264,0
0,3608,3608,35
2623,0,2623,0
0,115,115,13
105,0,105,0
266,0,266,0
0,253,253,12
0,2,2,75
1,0,1,0
0,170,170,0
141,0,141,0
0,688,688,39
456,0,456,0
0,618,618,39
855,0,855,0
45,0,45,0
0,57,57,1
55,0,55,0
0,759,759,14
741,0,741,0
0,5,5,7
15,0,15,0
0,179,179,25
218,0,218,0
0,171,171,18
40,0,40,0
0,393,393,77
89,0,89,0
0,156,156,100
188,0,188,0
0,3,3,33
5,0,5,0
586,0,586,0
0,193,193,17
33,0,33,0
0,175,175,146
223,0,223,0
0,1016,1016,15
8,0,8,0
0,193,193,6
197,0,197,0
0,1022,1022,42
965,0,965,0
0,26,26,3
86,0,86,0
925,0,925,0
0,3901,3901,27
16,0,16,0
0,387,387,22
321,0,321,0
0,291,291,25
2,0,2,0
0,410,410,84
341,0,341,0
0,858,858,35
764,0,764,0
19,0,19,0
0,214,214,62
255,0,255,0
66,0,66,0
0,39,39,32
0,1000,1000,32
813,0,813,0
20,0,20,0
0,19,19,7
4,0,4,0
0,176,176,128
275,0,275,0
0,39,39,78
16,0,16,0
0,58,58,45
54,0,54,0
0,188,188,73
166,0,166,0
0,84,84,0
0,8,8,4
175,0,175,0
36,0,36,0
0,4,4,8
3,0,3,0
0,4,4,0
63,0,63,0
0,165,165,149
181,0,181,0
13,0,13,0
246,0,246,0
0,119,119,77
12,0,12,0
105,0,105,0
0,114,114,5
105,0,105,0
0,67,67,35
9,0,9,0
0,85,85,64
28,0,28,0
0,445,445,29
6,0,6,0
0,279,279,258
7,0,7,0
151,0,151,0
0,213,213,42
0,179,179,5
50,0,50,0
519,0,519,0
105,0,105,0
0,49,49,82
13,0,13,0
0,164,164,47
31,0,31,0
83,0,83,0
0,1,1,2
58,0,58,0
24,0,24,0
53,0,53,0
0,43,43,13
0,161,161,51
884,0,884,0
0,145,145,4
90,0,90,0
0,8,8,15
11,0,11,0
0,13,13,0
14,0,14,0
0,183,183,14
310,0,310,0
133,0,133,0
0,125,125,125
102,0,102,0
0,69,69,18
91,0,91,0
12,0,12,0
1229,0,1229,0
0,1014,1014,104
0,211,211,80
262,0,262,0
0,3,3,11
0,45,45,4
47,0,47,0
0,87,87,8
98,0,98,0
0,1,1,1
26,0,26,0
85,0,85,0
684,0,684,0
0,134,134,7
134,0,134,0
0,56,56,82
1,0,1,0
0,108,108,14
88,0,88,0
0,10,10,6
149,0,149,0
135,0,135,0
0,127,127,60
0,986,986,140
0,190,190,146
78,0,78,0
1,0,1,0
0,24,24,2
1,0,1,0
0,567,567,50
460,0,460,0
0,59,59,1
1,0,1,0
0,27,27,19
405,0,405,0
0,472,472,26
8,0,8,0
0,60,60,48
4,0,4,0
5,0,5,0
0,49,49,14
333,0,333,0
0,716,716,25
0,221,221,8
233,0,233,0
55,0,55,0
2,0,2,0
0,1517,1517,6
1531,0,1531,0
0,2,2,8
19,0,19,0
453,0,453,0
0,971,971,6
74,0,74,0
0,655,655,23
633,0,633,0
0,93,93,17
28,0,28,0
0,84,84,55
12,0,12,0
0,46,46,10
61,0,61,0
0,72,72,131
22,0,22,0
0,46,46,96
27,0,27,0
0,10,10,0
0,386,386,43
323,0,323,0
0,3,3,0
1174,0,1174,0
0,123,123,57
48,0,48,0
0,245,245,5
1,0,1,0
0,75,75,1
29,0,29,0
1,0,1,0
0,88,88,10
122,0,122,0
0,5,5,4
834,0,834,0
0,672,672,36
0,17,17,0
465,0,465,0
9,0,9,0
0,63,63,2
42,0,42,0
49,0,49,0
0,100,100,13
0,5,5,53
528,0,528,0
0,1424,1424,4
38,0,38,0
0,32,32,21
1,0,1,0
0,3874,3874,65
1952,0,1952,0
0,65,65,10
9,0,9,0
0,5,5,4
3,0,3,0
0,7,7,43
8,0,8,0
37,0,37,0
0,34,34,19
1,0,1,0
0,849,849,9
400,0,400,0
68,0,68,0
0,2,2,21
35,0,35,0
0,300,300,46
38,0,38,0
75,0,75,0
0,362,362,18
0,8,8,33
80,0,80,0
0,284,284,11
284,0,284,0
0,324,324,46
194,0,194,0
13,0,13,0
0,729,729,55
106,0,106,0
0,15,15,2
22,0,22,0
42,0,42,0
686,0,686,0
0,210,210,24
